Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,300,B,635,A,,,,,30,33.5,N,
,301,B,398,C,,,,,30.1,9.7,N,
,301,A,410,F,,,,,30.1,10.9,N,
,301,C,421,A,,,,,30.1,12,N,
,301,C,424,C,,,,,30.1,12.3,N,
,301,D,424,D,,,,,30.1,12.3,N,
,301,A,428,C,,,,,30.1,12.7,N,
,301,D,429,A,,,,,30.1,12.8,N,
,301,B,433,B,,,,,30.1,13.2,N,
,302,B,419,C,,,,,30.2,11.7,N,
,302,A,425,C,,,,,30.2,12.3,N,
,302,A,434,E,,,,,30.2,13.2,N,
,302,C,446,B,,,,,30.2,14.4,N,
,302,C,466,A,,,,,30.2,16.4,N,
,303,C,429,B,,,,,30.3,12.6,N,
,303,A,432,D,,,,,30.3,12.9,N,
,303,C,433,C,,,,,30.3,13,N,
,303,B,435,C,,,,,30.3,13.2,N,
,303,A,439,C,,,,,30.3,13.6,N,
,303,B,446,C,,,,,30.3,14.3,N,
,303,D,550,A,,,,,30.3,24.7,N,
,304,A,459,A,,,,,30.4,15.5,N,
,304,A,495,A,,,,,30.4,19.1,N,
,305,C,428,D,,,,,30.5,12.3,N,
,305,B,429,C,,,,,30.5,12.4,N,
,305,D,431,C,,,,,30.5,12.6,N,
,305,D,433,D,,,,,30.5,12.8,N,
,305,A,434,F,,,,,30.5,12.9,N,
,305,A,437,B,,,,,30.5,13.2,N,
,305,B,442,B,,,,,30.5,13.7,N,
,305,C,446,D,,,,,30.5,14.1,N,
,306,A,438,C,,,,,30.6,13.2,N,
,306,C,454,B,,,,,30.6,14.8,N,
,306,C,456,B,,,,,30.6,15,N,
,307,A,421,B,,,,,30.7,11.4,N,
,307,B,422,C,,,,,30.7,11.5,N,
,307,A,428,E,,,,,30.7,12.1,N,
,307,B,430,D,,,,,30.7,12.3,N,
,307,C,439,D,,,,,30.7,13.2,N,
,307,C,445,B,,,,,30.7,13.8,N,
,308,A,437,C,,,,,30.8,12.9,N,
,308,B,437,C,,,,,30.8,12.9,N,
,308,C,438,D,,,,,30.8,13,N,
,309,A,419,D,,,,,30.9,11,N,
,309,D,421,C,,,,,30.9,11.2,N,
,309,B,425,D,,,,,30.9,11.6,N,
,309,A,427,E,,,,,30.9,11.8,N,
,309,B,429,D,,,,,30.9,12,N,
,309,C,439,E,,,,,30.9,13,N,
,309,D,442,C,,,,,30.9,13.3,N,
,309,C,452,B,,,,,30.9,14.3,N,
,309,E,465,A,,,,,30.9,15.6,N,
,309,E,534,A,,,,,30.9,22.5,N,
,310,C,413,C,,,,,31,10.3,N,
,310,C,420,D,,,,,31,11,N,
,310,D,436,A,,,,,31,12.6,N,
,310,B,439,F,,,,,31,12.9,N,
,310,D,445,C,,,,,31,13.5,N,
,310,A,446,E,,,,,31,13.6,N,
,310,B,457,B,,,,,31,14.7,N,
,310,A,465,B,,,,,31,15.5,N,
,311,C,425,E,,,,,31.1,11.4,N,
,311,C,442,D,,,,,31.1,13.1,N,
,311,A,506,A,,,,,31.1,19.5,N,
,312,C,434,G,,,,,31.2,12.2,N,
,312,B,438,E,,,,,31.2,12.6,N,
,312,C,440,C,,,,,31.2,12.8,N,
,312,B,441,A,,,,,31.2,12.9,N,
,312,A,486,A,,,,,31.2,17.4,N,
,312,A,544,A,,,,,31.2,23.2,N,
,313,B,434,H,,,,,31.3,12.1,N,
,313,B,444,B,,,,,31.3,13.1,N,
,313,A,451,C,,,,,31.3,13.8,N,
,313,A,505,A,,,,,31.3,19.2,N,
,314,B,430,E,,,,,31.4,11.6,N,
,314,B,437,D,,,,,31.4,12.3,N,
,314,A,549,A,,,,incomplete separation,31.4,23.5,N,
,315,A,463,B,,,,,31.5,14.8,N,
,315,B,466,F,,,,,31.5,15.1,N,
,315,B,483,A,,,,,31.5,16.8,N,
,315,A,530,A,,,,,31.5,21.5,N,
,316,A,458,C,,,,,31.6,14.2,N,
,316,A,471,D,,,,,31.6,15.5,N,
,318,A,441,B,,,,,31.8,12.3,N,
,318,A,456,D,,,,,31.8,13.8,N,
,318,B,462,B,,,,,31.8,14.4,N,
,318,B,484,A,,,,,31.8,16.6,N,
,319,A,452,C,,,,,31.9,13.3,N,
,319,A,452,D,,,,,31.9,13.3,N,
,319,B,455,B,,,,,31.9,13.6,N,
,319,B,462,C,,,,,31.9,14.3,N,
,320,A,466,G,,,,,32,14.6,N,
,321,A,450,B,,,,,32.1,12.9,N,
,321,A,466,G,,,,,32.1,14.5,N,
,322,A,465,E,,,,,32.2,14.3,N,
,322,A,541,A,,,,,32.2,21.9,N,
,323,A,453,A,,,,,32.3,13,N,
,323,A,455,C,,,,,32.3,13.2,N,
,324,A,450,C,,,,,32.4,12.6,N,
,324,A,456,E,,,,,32.4,13.2,N,
,325,A,456,C,,,,,32.5,13.1,N,
,325,A,538,A,,,,,32.5,21.3,N,
,326,A,439,G,,,,,32.6,11.3,N,
,326,C,440,B,,,,,32.6,11.4,N,
,326,B,445,D,,,,,32.6,11.9,N,
,326,C,446,G,,,,,32.6,12,N,
,326,B,447,A,,,,,32.6,12.1,N,
,327,C,451,B,,,,,32.7,12.4,N,
,327,A,459,C,,,,,32.7,13.2,N,
,327,B,459,B,,,,,32.7,13.2,N,
,327,B,460,C,,,,,32.7,13.3,N,
,327,A,475,C,,,,,32.7,14.8,N,
,329,A,461,F,,,,,32.9,13.2,N,
,329,B,463,A,,,,,32.9,13.4,N,
,329,B,468,C,,,,,32.9,13.9,N,
,330,A,454,A,,,,,33,12.4,N,
,330,B,460,A,,,,,33,13,N,
,330,A,462,A,,,,,33,13.2,N,
,330,B,464,D,,,,,33,13.4,N,
,332,A,477,B,,,,,33.2,14.5,N,
,332,A,478,C,,,,,33.2,14.6,N,
,333,C,455,A,,,,,33.3,12.2,N,
,333,B,464,C,,,,,33.3,13.1,N,
,333,A,466,E,,,,,33.3,13.3,N,
,333,B,476,A,,,,,33.3,14.3,N,
,333,A,488,A,,,,,33.3,15.5,N,
,333,C,570,A,,,,,33.3,23.7,N,
,334,A,466,D,,,,,33.4,13.2,N,
