Parent,ID,Generations,Start,Split,Lifespan,Parent,ID,Valid,Left Frame,Generation,C.Start,C.Split,C.Lifespan,,Notes,Rate,progeny.id,progeny.events,population.time,progeny.mle,,,,,,,,
,,,,,,62,l58,T,0,,197,549,35.2,,lasts thru EOM,,672,,,,,,,,,,,
,,,,,,62,r59,T,0,,197,500,30.3,,daughters last thru EOM,,672,,,,,,,,,,,
,,,,,,r59,l96,T,0,,500,549,4.9,,,,672,,,,,,,,,,,
,,,,,,r59,r97,T,0,,500,549,4.9,,,,672,,,,,,,,,,,
2239,964,2,1212,2868,27.6,2239,964,T,0,2,202,396,19.4,,X Corrected; splits in fr396; auto missed split and gave label to daughter cell,0.025114028,672,NA,NA,NA,,,,,,,,
,,,,,,964,l61,T,0,,396,549,15.3,,lasts thru EOM,,672,,,,,,,,,,,
,,,,,,964,r62,T,0,,396,549,15.3,,lasts thru EOM,,672,,,,,,,,,,,
2240,1703,2,2250,3294,17.4,2240,1703,T,0,3,375,549,17.4,,X Doesn't split thru EOM,0.039836045,672,NA,NA,NA,,,,,,,,
672,2239,2,318,1212,14.9,672,2239,T,0,1,53,202,14.9,,valid,0.046519945,672,NA,NA,NA,,,,,,,,
2239,2240,2,1212,2250,17.3,2239,2240,T,0,2,202,375,17.3,,valid,0.040066311,672,NA,NA,NA,,,,,,,,
2240,2241,2,2250,2442,3.2,2240,2241,T,0,3,375,549,17.4,,"X Blobmerge with 2843, relabelled as '1784', actually doesn't split thru EOM",0.216608494,672,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,207,1,18,438,7,0,207,T,0,0,3,73,7,,,0.099021026,207,2,61.6,0.032467532,,,,,,,,
207,66,2,444,840,6.6,207,66,T,0,1,74,281,20.7,,"X Invalid; tracking loses it near edge, but it actually splits in fr281",0.1050223,207,NA,NA,NA,,,,,,,,
,,,,,,66,l71,T,0,,281,549,26.8,,lasts thru EOM,,207,,,,,,,,,,,
,,,,,,66,r72,T,0,,281,549,26.8,,lasts thru EOM,,207,,,,,,,,,,,
2243,1240,2,1446,3216,29.5,2243,1240,F,0,,241,536,29.5,,X illegitimate; somehow claimed as a daughter despite the presence of '1519'; algorithm should exlude assigning daughter status to a cell so distant from the parent,0.023496515,207,NA,NA,NA,,,,,,,,
207,2243,2,444,1446,16.7,207,2243,T,0,1,74,238,16.4,,"X Invalid; actual split in fr238 is missed; cell retains '2243' momentarily, then changes to 2244.",0.041505819,207,NA,NA,NA,,,,,,,,
,,,,,,2243,l74,T,0,,238,462,22.4,,daughters last thru EOM,,207,,,,,,,,,,,
,,,,,,l74,l113,T,0,,462,549,8.7,,,,207,,,,,,,,,,,
,,,,,,l74,r114,T,0,,462,549,8.7,,,,207,,,,,,,,,,,
,,,,,,2243,r75,T,0,,238,549,31.1,,lasts thru EOM,,207,,,,,,,,,,,
2243,2244,2,1446,1554,1.8,2243,2244,F,0,,241,259,1.8,,"X illegitmate; also, blobmerges with '1240' in fr259",0.385081767,207,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,72,1,18,732,11.9,0,72,T,0,0,3,122,11.9,,,0.058247662,72,3,82.2,0.03649635,,,,,,,,
72,1536,2,738,1590,14.2,72,1536,T,0,1,123,265,14.2,,valid,0.048813182,72,NA,NA,NA,,,,,,,,
72,2817,2,738,1074,5.6,72,2817,T,0,1,123,247,12.4,,X Invalid; splits in fr247; auto randomly reassigns it as '243',0.123776282,72,NA,NA,NA,,,,,,,,
,,,,,,2817,l81,T,0,,247,405,15.8,,daughters last thru EOM,,72,,,,,,,,,,,
,,,,,,l81,l122,T,0,,405,549,14.4,,,,72,,,,,,,,,,,
,,,,,,l81,r123,T,0,,405,549,14.4,,,,72,,,,,,,,,,,
,,,,,,2817,r82,T,0,,247,384,13.7,,daughters last thru EOM,,72,,,,,,,,,,,
,,,,,,r82,l125,T,0,,384,549,16.5,,,,72,,,,,,,,,,,
,,,,,,r82,r126,T,0,,384,549,16.5,,,,72,,,,,,,,,,,
1536,988,3,1596,2754,19.3,1536,988,T,0,2,266,422,15.6,,X Invalid; actual split in fr422; blobmerged with '1788' and then reassigned as 1931; daughters persist til EOM,0.035914362,72,NA,NA,NA,,,,,,,,
,,,,,,988,l128,T,0,,422,549,12.7,,,,72,,,,,,,,,,,
,,,,,,988,r129,T,0,,422,549,12.7,,,,72,,,,,,,,,,,
2674,1141,3,2574,2748,2.9,2674,1141,T,0,3,429,549,12,,X Invalid; actually persists til EOM; was reassigned as '1382' after transient blobmerge with '1053'; ,0.239016269,72,NA,NA,NA,,,,,,,,
1536,2674,3,1596,2574,16.3,1536,2674,T,0,2,266,429,16.3,,valid,0.042524367,72,NA,NA,NA,,,,,,,,
2674,2675,3,2574,3294,12,2674,2675,T,0,3,429,549,12,,X Persists until EOM,0.057762265,72,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,79,1,18,156,2.3,0,79,T,0,0,3,26,2.3,,,0.301368339,79,4,91.7,0.043620502,,,,,,,,
79,86,2,162,1008,14.1,79,86,F,0,1,27,168,14.1,,X Invalid; becomes faint/floaty; is simply lost by auto; can't resolve manually,0.049159375,79,NA,NA,NA,,,,,,,,
