Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,256,C,408,A,,,,,25.6,15.2,N,
,256,C,417,A,,,,,25.6,16.1,N,
,258,C,405,A,,,,,25.8,14.7,N,
,258,B,417,B,,,,,25.8,15.9,N,
,258,C,424,A,,,,,25.8,16.6,N,
,258,A,447,A,,,,,25.8,18.9,N,
,258,B,476,A,,,,,25.8,21.8,N,
,258,A,523,A,,,,,25.8,26.5,N,
,259,A,461,A,,,,,25.9,20.2,N,
,259,A,644,A,,,,,25.9,38.5,N,
,260,A,397,B,,,,,26,13.7,N,
,260,A,408,B,,,,,26,14.8,N,
,261,A,416,A,,,,,26.1,15.5,N,
,261,A,418,A,,,,,26.1,15.7,N,
,263,B,392,A,,,,,26.3,12.9,N,
,263,B,397,C,,,,,26.3,13.4,N,
,263,A,400,A,,,,,26.3,13.7,N,
,263,A,500,A,,,,,26.3,23.7,N,
,264,A,409,A,,,,,26.4,14.5,N,
,264,A,425,A,,,,,26.4,16.1,N,
,264,B,631,A,,,,,26.4,36.7,N,
,264,B,654,A,,,,,26.4,39,N,
,265,A,467,A,,,,,26.5,20.2,N,
,266,A,654,B,,,,,26.6,38.8,N,
,267,A,646,A,,,,,26.7,37.9,N,
,269,A,405,B,,,,,26.9,13.6,N,
,269,A,415,B,,,,,26.9,14.6,N,
,269,B,462,A,,,,,26.9,19.3,N,
,269,B,479,A,,,,,26.9,21,N,
,270,A,400,B,,,,,27,13,N,
,270,A,459,A,,,,,27,18.9,N,
,270,B,557,A,,,,,27,28.7,N,
,270,C,597,A,,,,,27,32.7,N,
,270,B,605,A,,,,,27,33.5,N,
,270,C,620,A,,,,,27,35,N,
,271,A,406,B,,,,,27.1,13.5,N,
,271,A,415,C,,,,,27.1,14.4,N,
,272,A,397,D,,,,,27.2,12.5,N,
,272,B,418,B,,,,,27.2,14.6,N,
,272,B,427,A,,,,,27.2,15.5,N,
,272,A,644,B,,,,,27.2,37.2,N,
,273,B,398,A,,,,,27.3,12.5,N,
,273,B,403,A,,,,,27.3,13,N,
,273,A,460,A,,,,,27.3,18.7,N,
,274,B,408,C,,,,,27.4,13.4,N,
,274,B,410,A,,,,,27.4,13.6,N,
,274,A,440,A,,,,,27.4,16.6,N,
,274,A,443,A,,,,,27.4,16.9,N,
,275,C,404,A,,,,,27.5,12.9,N,
,275,C,411,A,,,,,27.5,13.6,N,
,275,B,492,B,,,,,27.5,21.7,N,
,275,B,581,A,,,,,27.5,30.6,N,
,276,C,414,D,,,,,27.6,13.8,N,
,276,C,419,A,,,,,27.6,14.3,N,
,276,B,444,B,,,,,27.6,16.8,N,
,276,B,447,B,,,,,27.6,17.1,N,
,276,A,519,A,,,,,27.6,24.3,N,
,276,A,558,A,,,,,27.6,28.2,N,
,277,B,424,B,,,,,27.7,14.7,N,
,277,B,434,B,,,,,27.7,15.7,N,
,277,A,706,A,,,,,27.7,42.9,N,
,278,A,430,A,,,,,27.8,15.2,N,
,278,A,440,B,,,,,27.8,16.2,N,
,281,C,425,B,,,,,28.1,14.4,N,
,281,C,437,A,,,,,28.1,15.6,N,
,281,B,491,A,,,,,28.1,21,N,
,281,B,816,A,,,,,28.1,53.5,N,
,282,C,412,A,,,,,28.2,13,N,
