Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Left frame,Questionable,Notes,Birth time (h),Lifetime (h),EOM,dies
,310,B,509,A,,,,,31,19.9,N,
,310,A,532,B,,,,,31,22.2,N,
,310,A,536,A,,,,,31,22.6,N,
,311,A,500,A,,,,,31.1,18.9,N,
,312,A,753,A,,,,,31.2,44.1,N,
,313,A,520,A,,,,,31.3,20.7,N,
,313,A,523,C,,,,,31.3,21,N,
,313,C,530,A,,,,,31.3,21.7,N,
,313,C,533,A,,,,,31.3,22,N,
,313,B,538,A,,,,,31.3,22.5,N,
,313,B,589,A,,,,,31.3,27.6,N,
,316,A,488,E,,,,,31.6,17.2,N,
,316,B,558,A,,,,,31.6,24.2,N,
,316,A,563,A,,,,,31.6,24.7,N,
,317,B,521,C,,,,,31.7,20.4,N,
,317,A,596,A,,,,incomplete separation,31.7,27.9,N,
,319,A,616,A,,,,,31.9,29.7,N,
,321,A,497,A,,,,incomplete sepration,32.1,17.6,N,
,322,A,540,B,,,,,32.2,21.8,N,
,322,A,728,A,,,,,32.2,40.6,N,
,323,B,528,C,,,,,32.3,20.5,N,
,323,B,528,D,,,,,32.3,20.5,N,
,323,A,583,A,,,,,32.3,26,N,
,323,A,729,A,,,,,32.3,40.6,N,
,325,B,510,D,,,,,32.5,18.5,N,
,325,A,521,D,,,,,32.5,19.6,N,
,325,B,522,A,,,,,32.5,19.7,N,
,325,A,535,A,,,,,32.5,21,N,
,327,A,660,A,,,,,32.7,33.3,N,
,327,A,729,B,,,,,32.7,40.2,N,
,328,B,486,B,,,,,32.8,15.8,N,
,328,B,498,A,,,,,32.8,17,N,
,334,A,495,A,,,,,33.4,16.1,N,
,334,A,532,C,,,,,33.4,19.8,N,
,335,A,546,A,,,,,33.5,21.1,N,
,335,A,551,A,,,,,33.5,21.6,N,
,336,A,510,E,,,,,33.6,17.4,N,
,336,A,539,B,,,,,33.6,20.3,N,
,338,A,515,A,,,,,33.8,17.7,N,
,338,A,523,D,,,,,33.8,18.5,N,
,339,A,530,B,,,,,33.9,19.1,N,
,339,A,597,A,,,,,33.9,25.8,N,
,340,A,565,A,,,,,34,22.5,N,
,340,A,598,A,,,,,34,25.8,N,
,340,B,601,A,,,,incomplete separation,34,26.1,N,
,341,A,522,B,,,,,34.1,18.1,N,
,341,A,542,A,,,,,34.1,20.1,N,
,342,A,564,A,,,,,34.2,22.2,N,
,342,A,581,A,,,,,34.2,23.9,N,
,343,A,628,A,,,,,34.3,28.5,N,
,343,A,634,A,,,,,34.3,29.1,N,
,345,B,519,C,,,,,34.5,17.4,N,
,345,B,526,A,,,,,34.5,18.1,N,
,345,A,567,A,,,,,34.5,22.2,N,
,345,A,592,A,,,,,34.5,24.7,N,
,349,B,580,A,,,,,34.9,23.1,N,
,349,A,601,B,,,,,34.9,25.2,N,
,349,A,602,A,,,,,34.9,25.3,N,
,350,A,599,A,,,,,35,24.9,N,
,350,A,605,A,,,,,35,25.5,N,
,349,B,861,,Y,,,,34.9,51.2,Y,
,347,A,861,,Y,,,,34.7,51.4,Y,
,347,A,861,,Y,,,,34.7,51.4,Y,
,312,A,861,,Y,,,,31.2,54.9,Y,
,82,A,,,,299,,,8.2,,N,
,85,B,,,,178,,,8.5,,N,
,90,A,,,,276,,,9,,N,
,204,A,,,,218,,,20.4,,N,
,204,A,,,,289,,,20.4,,N,
,205,B,,,,283,,,20.5,,N,
,205,C,,,,373,,,20.5,,N,
,210,C,,,,239,,,21,,N,
,210,C,,,,257,,,21,,N,
,212,A,,,,224,,,21.2,,N,
,212,A,,,,337,,,21.2,,N,
,216,A,,,,391,,,21.6,,N,
,220,A,,,,430,,,22,,N,
,236,A,,,,287,,,23.6,,N,
,238,A,,,,261,,,23.8,,N,
,238,A,,,,376,,,23.8,,N,
,244,A,,,,292,,,24.4,,N,
,247,,316,B,,,,,24.7,,N,
,255,A,,,,439,,,25.5,,N,
,255,A,,,,442,,,25.5,,N,
,257,B,,,,390,,,25.7,,N,
,257,B,,,,419,,,25.7,,N,
,258,B,,,,470,,,25.8,,N,
,272,B,,,,284,,,27.2,,N,
,275,A,,,,283,,,27.5,,N,
,275,A,,,,325,,,27.5,,N,
,302,A,,,,406,,,30.2,,N,
,302,A,,,,387,,,30.2,,N,
,307,A,,,,475,,,30.7,,N,
,311,A,,,,440,,,31.1,,N,
,316,B,,,,473,,,31.6,,N,
,317,B,,,,508,,,31.7,,N,
,319,A,,,,484,,,31.9,,N,
,324,A,,,,365,,,32.4,,N,
,324,A,,,,391,,,32.4,,N,
,328,A,,,,376,,,32.8,,N,
,328,A,,,,403,,,32.8,,N,
,331,A,,,,357,,,33.1,,N,
,331,A,,,,363,,,33.1,,N,
,333,A,,,,508,,,33.3,,N,
,333,A,,,,447,,,33.3,,N,
,281,B,,,,,,,,,,
